ISIN,Name,0μs,100μs,500μs,1000μs,2000μs,3000μs,4000μs,5000μs,10000μs,15000μs,20000μs,30000μs,50000μs,100000μs
ES0105025003,ISIN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105027009,ISIN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105046017,ISIN_3,8.610000000001346,2.680000000000419,3.620000000000566,3.620000000000566,3.620000000000566,3.620000000000566,3.620000000000566,3.620000000000566,3.620000000000566,0.0,0.0,0.0,0.0,0.0
ES0105065009,ISIN_4,0.5499999999999883,0.5499999999999883,0.5499999999999883,0.5499999999999883,0.5499999999999883,0.5499999999999883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105066007,ISIN_5,42.059999999998226,42.86999999999812,42.98999999999791,39.81999999999799,36.46999999999913,33.389999999998906,23.590000000000543,19.550000000000022,19.659999999999503,8.359999999998806,10.459999999999408,4.539999999999903,0.710000000000111,0.0
ES0105079000,ISIN_6,25.90000000000144,26.400000000001484,21.20000000000104,21.20000000000104,21.20000000000104,15.700000000000571,18.200000000000784,17.500000000000725,18.800000000000836,18.800000000000836,13.600000000000762,9.400000000000219,13.400000000000773,20.400000000001157
ES0105223004,ISIN_7,0.39999999999995595,0.39999999999995595,0.19999999999997797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105229001,ISIN_8,0.02300000000000002,0.02300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105251005,ISIN_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105287009,ISIN_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES0105546008,ISIN_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
