sell_venue,buy_venue,direction,opportunities,total_profit,avg_profit,avg_spread,avg_quantity
BME,CBOE,BME→CBOE,451,473.97500000001156,2.3138012025625523,0.006751117311219029,486.06631274380635
CBOE,BME,CBOE→BME,361,421.44699999997755,2.4786704619724786,0.014126782531194766,467.59719622697565
AQUIS,BME,AQUIS→BME,153,156.521000000002,1.821587522247492,0.013542035341977584,368.33086829392323
TURQUOISE,BME,TURQUOISE→BME,77,138.99699999998617,1.6666573977823245,0.020138513513513343,310.39215176715174
BME,AQUIS,BME→AQUIS,109,112.42400000000815,1.274282016579963,0.009014204742625667,255.02630036630035
BME,TURQUOISE,BME→TURQUOISE,28,40.613999999999535,1.5113333333332728,0.01528571428571344,412.4738095238095
AQUIS,CBOE,AQUIS→CBOE,19,18.433000000000924,0.4674404761905517,0.006749999999999822,425.94047619047615
CBOE,TURQUOISE,CBOE→TURQUOISE,2,8.780000000000367,4.3900000000001835,0.05500000000000416,205.0
TURQUOISE,CBOE,TURQUOISE→CBOE,2,3.3000000000002423,1.6500000000001211,0.05100000000000415,65.5
CBOE,AQUIS,CBOE→AQUIS,1,2.8999999999996806,2.8999999999996806,0.0019999999999997797,1450.0
TURQUOISE,AQUIS,TURQUOISE→AQUIS,2,1.4899999999999523,0.7449999999999761,0.005499999999999616,88.0
